Channel,Counts,,Setting,Value
1,0,,Detector angle,70
2,0,,Target angle,20
3,0,,Voltage (kV),35
4,0,,Current (mA),1
5,0,,Gate time (s),300
6,0,,,
7,0,,,
8,0,,,
9,0,,,
10,0,,,
11,0,,,
12,0,,,
13,0,,,
14,0,,,
15,0,,,
16,0,,,
17,0,,,
18,0,,,
19,0,,,
20,0,,,
21,0,,,
22,0,,,
23,0,,,
24,0,,,
25,0,,,
26,0,,,
27,0,,,
28,0,,,
29,0,,,
30,0,,,
31,1,,,
32,0,,,
33,0,,,
34,2,,,
35,1,,,
36,1,,,
37,5,,,
38,4,,,
39,15,,,
40,14,,,
41,22,,,
42,25,,,
43,30,,,
44,27,,,
45,33,,,
46,39,,,
47,45,,,
48,32,,,
49,33,,,
50,33,,,
51,36,,,
52,37,,,
53,24,,,
54,31,,,
55,26,,,
56,29,,,
57,23,,,
58,24,,,
59,21,,,
60,28,,,
61,23,,,
62,21,,,
63,25,,,
64,31,,,
65,29,,,
66,41,,,
67,31,,,
68,25,,,
69,28,,,
70,30,,,
71,19,,,
72,21,,,
73,25,,,
74,30,,,
75,30,,,
76,30,,,
77,26,,,
78,28,,,
79,25,,,
80,29,,,
81,21,,,
82,40,,,
83,20,,,
84,25,,,
85,22,,,
86,31,,,
87,24,,,
88,27,,,
89,17,,,
90,22,,,
91,31,,,
92,25,,,
93,28,,,
94,24,,,
95,33,,,
96,25,,,
97,25,,,
98,26,,,
99,33,,,
100,28,,,
101,32,,,
102,35,,,
103,33,,,
104,21,,,
105,31,,,
106,32,,,
107,26,,,
108,30,,,
109,25,,,
110,32,,,
111,22,,,
112,29,,,
113,15,,,
114,29,,,
115,35,,,
116,20,,,
117,23,,,
118,33,,,
119,38,,,
120,40,,,
121,54,,,
122,42,,,
123,55,,,
124,62,,,
125,53,,,
126,58,,,
127,48,,,
128,46,,,
129,39,,,
130,45,,,
131,41,,,
132,40,,,
133,36,,,
134,35,,,
135,64,,,
136,31,,,
137,50,,,
138,32,,,
139,38,,,
140,36,,,
141,43,,,
142,49,,,
143,51,,,
144,57,,,
145,63,,,
146,58,,,
147,60,,,
148,54,,,
149,47,,,
150,46,,,
151,45,,,
152,35,,,
153,36,,,
154,28,,,
155,24,,,
156,28,,,
157,26,,,
158,35,,,
159,33,,,
160,34,,,
161,34,,,
162,40,,,
163,35,,,
164,26,,,
165,23,,,
166,32,,,
167,27,,,
168,27,,,
169,28,,,
170,36,,,
171,30,,,
172,27,,,
173,21,,,
174,33,,,
175,29,,,
176,21,,,
177,22,,,
178,28,,,
179,19,,,
180,23,,,
181,20,,,
182,32,,,
183,33,,,
184,31,,,
185,49,,,
186,46,,,
187,65,,,
188,66,,,
189,84,,,
190,94,,,
191,89,,,
192,100,,,
193,78,,,
194,69,,,
195,46,,,
196,42,,,
197,41,,,
198,34,,,
199,25,,,
200,26,,,
201,24,,,
202,33,,,
203,26,,,
204,25,,,
205,34,,,
206,30,,,
207,22,,,
208,30,,,
209,30,,,
210,31,,,
211,31,,,
212,23,,,
213,30,,,
214,22,,,
215,33,,,
216,33,,,
217,40,,,
218,38,,,
219,47,,,
220,45,,,
221,58,,,
222,76,,,
223,86,,,
224,86,,,
225,69,,,
226,87,,,
227,56,,,
228,78,,,
229,54,,,
230,71,,,
231,62,,,
232,55,,,
233,47,,,
234,31,,,
235,40,,,
236,47,,,
237,43,,,
238,31,,,
239,49,,,
240,42,,,
241,40,,,
242,37,,,
243,43,,,
244,36,,,
245,50,,,
246,54,,,
247,42,,,
248,41,,,
249,47,,,
250,52,,,
251,44,,,
252,64,,,
253,41,,,
254,60,,,
255,65,,,
256,57,,,
257,75,,,
258,68,,,
259,56,,,
260,56,,,
261,70,,,
262,65,,,
263,60,,,
264,54,,,
265,65,,,
266,62,,,
267,58,,,
268,80,,,
269,78,,,
270,57,,,
271,79,,,
272,73,,,
273,66,,,
274,77,,,
275,73,,,
276,76,,,
277,82,,,
278,75,,,
279,88,,,
280,59,,,
281,89,,,
282,73,,,
283,73,,,
284,77,,,
285,79,,,
286,84,,,
287,93,,,
288,80,,,
289,89,,,
290,81,,,
291,102,,,
292,101,,,
293,93,,,
294,101,,,
295,91,,,
296,99,,,
297,115,,,
298,109,,,
299,126,,,
300,87,,,
301,102,,,
302,110,,,
303,95,,,
304,99,,,
305,112,,,
306,124,,,
307,119,,,
308,120,,,
309,109,,,
310,112,,,
311,134,,,
312,165,,,
313,132,,,
314,148,,,
315,132,,,
316,156,,,
317,167,,,
318,146,,,
319,184,,,
320,162,,,
321,195,,,
322,236,,,
323,237,,,
324,285,,,
325,372,,,
326,369,,,
327,433,,,
328,533,,,
329,564,,,
330,549,,,
331,651,,,
332,619,,,
333,620,,,
334,619,,,
335,569,,,
336,528,,,
337,501,,,
338,435,,,
339,415,,,
340,389,,,
341,365,,,
342,304,,,
343,219,,,
344,207,,,
345,182,,,
346,147,,,
347,121,,,
348,111,,,
349,120,,,
350,109,,,
351,114,,,
352,112,,,
353,100,,,
354,104,,,
355,109,,,
356,110,,,
357,100,,,
358,102,,,
359,101,,,
360,106,,,
361,131,,,
362,142,,,
363,125,,,
364,144,,,
365,151,,,
366,193,,,
367,199,,,
368,217,,,
369,198,,,
370,176,,,
371,184,,,
372,198,,,
373,185,,,
374,167,,,
375,164,,,
376,175,,,
377,133,,,
378,132,,,
379,125,,,
380,133,,,
381,132,,,
382,90,,,
383,89,,,
384,86,,,
385,88,,,
386,74,,,
387,81,,,
388,75,,,
389,64,,,
390,83,,,
391,71,,,
392,77,,,
393,66,,,
394,67,,,
395,68,,,
396,69,,,
397,80,,,
398,47,,,
399,69,,,
400,72,,,
401,65,,,
402,68,,,
403,62,,,
404,83,,,
405,77,,,
406,66,,,
407,75,,,
408,66,,,
409,61,,,
410,63,,,
411,54,,,
412,67,,,
413,60,,,
414,55,,,
415,72,,,
416,65,,,
417,61,,,
418,59,,,
419,79,,,
420,59,,,
421,71,,,
422,69,,,
423,61,,,
424,83,,,
425,75,,,
426,56,,,
427,76,,,
428,72,,,
429,57,,,
430,62,,,
431,60,,,
432,68,,,
433,54,,,
434,55,,,
435,53,,,
436,50,,,
437,54,,,
438,54,,,
439,54,,,
440,53,,,
441,63,,,
442,47,,,
443,46,,,
444,58,,,
445,57,,,
446,45,,,
447,40,,,
448,52,,,
449,50,,,
450,37,,,
451,42,,,
452,44,,,
453,60,,,
454,53,,,
455,39,,,
456,38,,,
457,42,,,
458,44,,,
459,45,,,
460,35,,,
461,24,,,
462,48,,,
463,37,,,
464,45,,,
465,40,,,
466,31,,,
467,32,,,
468,46,,,
469,37,,,
470,41,,,
471,39,,,
472,44,,,
473,37,,,
474,38,,,
475,55,,,
476,36,,,
477,35,,,
478,39,,,
479,32,,,
480,30,,,
481,33,,,
482,37,,,
483,25,,,
484,26,,,
485,32,,,
486,30,,,
487,31,,,
488,32,,,
489,22,,,
490,32,,,
491,27,,,
492,24,,,
493,22,,,
494,27,,,
495,28,,,
496,26,,,
497,28,,,
498,34,,,
499,26,,,
500,25,,,
501,24,,,
502,20,,,
503,31,,,
504,30,,,
505,22,,,
506,19,,,
507,21,,,
508,25,,,
509,26,,,
510,23,,,
511,25,,,
512,109,,,
